	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Control	HPA	QT_121004_21	QT_121004_23	QT_121004_25	QT_121004_27	QT_121004_31	QT_121004_33	QT_121004_35	QT_121004_37	QT_121004_41	QT_121004_43	QT_121004_26	QT_121004_34	QT_121004_42	QT_121004_48	QT_121004_56	QT_121004_64	QT_121004_66		
1283	M335T931	Inf	3.587192756	0.011542778	335.2472831	335.2468417	335.2490983	931.205	930.96	931.26	4	0	4	0	0	0	0	0	0	0	0	0	0	4092.65489	7815.347642	1947.865293	3351.885197	1452.962046	1299.939227	1931.413733		
1510	M345T153	Inf	3.034766361	0.022956776	345.1373355	345.137251	345.1383918	153.05	152.96	153.48	4	0	4	0	0	0	0	0	0	0	0	0	0	15291.08958	14344.17221	4388.115567	2999.807022	3877.010472	2948.779025	1977.770065		
1202	M347T918	Inf	3.782478187	0.009153715	347.1387491	347.1384874	347.1410701	918.06	915.73	920.7	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1120.169037	1531.24472	1364.498083	1164.11968	1216.76566		
892	M348T126	Inf	4.973003978	0.002519273	348.1398073	348.1393665	348.1401543	126.31	125.76	127.1	6	0	6	0	0	0	0	0	0	0	0	0	0	5020.96354	2656.557536	4372.688817	5844.507579	0	6602.078855	5970.548032		
881	M350T241	Inf	5.072259811	0.002282892	350.1208721	350.1205141	350.1211938	241.5	241.21	241.86	5	0	5	0	0	0	0	0	0	0	0	0	0	7395.458575	5939.117746	4614.265741	10991.5862	3779.778508	3043.485807	2986.987559		
730	M358T897	Inf	6.063968509	0.000912263	358.2650747	358.2647663	358.2652981	897.24	896.94	897.6	7	0	7	0	0	0	0	0	0	0	0	0	0	1716.710787	1728.923335	1672.052842	1540.374046	2696.786396	329.1637308	2422.988546		
2131	M360T949	Inf	2.017944151	0.090156807	360.2590202	360.2588958	360.2595165	948.78	948.42	949.08	5	0	5	0	0	0	0	0	0	0	0	0	0	3688.320984	18298.04978	3949.665171	4226.6488	0	672.0486417	2283.162806		
1181	M363T946	Inf	3.834595642	0.008612933	363.2299355	363.2282967	363.2316804	946.44	946.44	947.07	5	0	5	0	0	0	0	0	0	0	0	0	0	2985.872559	3625.289171	2714.93628	1091.125873	452.781341	423.8582874	1663.38758		
925	M364T866	Inf	4.799433474	0.003002485	364.1149465	364.1143868	364.1153621	866.07	865.52	866.88	4	0	4	0	0	0	0	0	0	0	0	0	0	1322.973655	1101.363236	1719.620802	1279.675476	2359.194744	1891.880378	4292.431398		
1649	M365T1024	Inf	2.786112961	0.031739874	364.7131377	364.7112522	364.7133417	1023.66	1023.31	1024.01	5	0	5	0	0	0	0	0	0	0	0	0	0	11785.01406	10920.27738	3777.121375	6321.45113	0	1434.374951	1058.11374		
